"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_total_loss__MAX"
"1","5.919762984897485","5.919762984897485","5.919762984897485","6.347171079625457","6.347171079625457","6.347171079625457","4.241867957699574","4.241867957699574","4.241867957699574","4.766190205331806","4.766190205331806","4.766190205331806"
"2","3.694532805183641","3.694532805183641","3.694532805183641","4.146517340709218","4.146517340709218","4.146517340709218","2.769325671356906","2.769325671356906","2.769325671356906","3.0452151476384057","3.0452151476384057","3.0452151476384057"
"3","2.632214671765085","2.632214671765085","2.632214671765085","2.7982799970870755","2.7982799970870755","2.7982799970870755","2.081892380705947","2.081892380705947","2.081892380705947","2.1654257526617915","2.1654257526617915","2.1654257526617915"
"4","2.036323124307934","2.036323124307934","2.036323124307934","2.0360055215405315","2.0360055215405315","2.0360055215405315","1.7334527253681136","1.7334527253681136","1.7334527253681136","1.6973427682320983","1.6973427682320983","1.6973427682320983"
"5","1.678572581885763","1.678572581885763","1.678572581885763","1.5968142917270558","1.5968142917270558","1.5968142917270558","1.4996254869718535","1.4996254869718535","1.4996254869718535","1.4202618434839944","1.4202618434839944","1.4202618434839944"
"6","1.459925225107115","1.459925225107115","1.459925225107115","1.3483444538040228","1.3483444538040228","1.3483444538040228","1.3571662543933727","1.3571662543933727","1.3571662543933727","1.2286298178652464","1.2286298178652464","1.2286298178652464"
"7","1.3271169395683926","1.3271169395683926","1.3271169395683926","1.191603322965002","1.191603322965002","1.191603322965002","1.2660517391895951","1.2660517391895951","1.2660517391895951","1.1127348607852658","1.1127348607852658","1.1127348607852658"
"8","1.2173195196510844","1.2173195196510844","1.2173195196510844","1.090646379794363","1.090646379794363","1.090646379794363","1.2033371234024821","1.2033371234024821","1.2033371234024821","1.0346549313191198","1.0346549313191198","1.0346549313191198"
"9","1.1537008246350668","1.1537008246350668","1.1537008246350668","1.015401264067018","1.015401264067018","1.015401264067018","1.1532853153628524","1.1532853153628524","1.1532853153628524","0.9826883342295726","0.9826883342295726","0.9826883342295726"
"10","1.1026578710727115","1.1026578710727115","1.1026578710727115","0.9571682488939478","0.9571682488939478","0.9571682488939478","1.1122251222866255","1.1122251222866255","1.1122251222866255","0.929313207921931","0.929313207921931","0.929313207921931"
"11","1.063396820695955","1.063396820695955","1.063396820695955","0.9168410918428885","0.9168410918428885","0.9168410918428885","1.0821814972172834","1.0821814972172834","1.0821814972172834","0.8977220943511909","0.8977220943511909","0.8977220943511909"
"12","1.0404936330356565","1.0404936330356565","1.0404936330356565","0.8878248141248103","0.8878248141248103","0.8878248141248103","1.0635535335879553","1.0635535335879553","1.0635535335879553","0.8728749987075426","0.8728749987075426","0.8728749987075426"
"13","1.020076418854627","1.020076418854627","1.020076418854627","0.8650700839544062","0.8650700839544062","0.8650700839544062","1.0362795682402317","1.0362795682402317","1.0362795682402317","0.851598223879748","0.851598223879748","0.851598223879748"
"14","1.000790609983102","1.000790609983102","1.000790609983102","0.8470351657901309","0.8470351657901309","0.8470351657901309","","","","0.8419584884419111","0.8419584884419111","0.8419584884419111"
"15","","","","0.8270758388309242","0.8270758388309242","0.8270758388309242","","","","0.8255003741537064","0.8255003741537064","0.8255003741537064"
"16","","","","0.8184760396052847","0.8184760396052847","0.8184760396052847","","","","0.8209079159936515","0.8209079159936515","0.8209079159936515"
"17","","","","0.8091882222181527","0.8091882222181527","0.8091882222181527","","","","0.8105609832500268","0.8105609832500268","0.8105609832500268"