"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_total_loss__MAX"
"1","8.513199217690362","8.513199217690362","8.513199217690362","9.141748223834568","9.141748223834568","9.141748223834568","7.230894826041328","7.230894826041328","7.230894826041328","7.941121262020535","7.941121262020535","7.941121262020535","6.308616223865085","6.308616223865085","6.308616223865085","7.066840276930067","7.066840276930067","7.066840276930067","1.6291864597797394","1.6291864597797394","1.6291864597797394","4.089402075131734","4.089402075131734","4.089402075131734","4.8638514562182955","4.8638514562182955","4.8638514562182955"
"2","5.28037218231625","5.28037218231625","5.28037218231625","5.837116259468926","5.837116259468926","5.837116259468926","4.491540746264987","4.491540746264987","4.491540746264987","4.987458109325833","4.987458109325833","4.987458109325833","3.961349073092143","3.961349073092143","3.961349073092143","4.406784273147583","4.406784273147583","4.406784273147583","0.9295125342077679","0.9295125342077679","0.9295125342077679","2.6683945280181036","2.6683945280181036","2.6683945280181036","2.9501953003141614","2.9501953003141614","2.9501953003141614"
"3","3.8826021740171646","3.8826021740171646","3.8826021740171646","4.233517910957336","4.233517910957336","4.233517910957336","3.3623346007665","3.3623346007665","3.3623346007665","3.617270250002543","3.617270250002543","3.617270250002543","3.046180374039544","3.046180374039544","3.046180374039544","3.255244653277927","3.255244653277927","3.255244653277927","0.7559761302338706","0.7559761302338706","0.7559761302338706","2.1931442983945213","2.1931442983945213","2.1931442983945213","2.2887969613075256","2.2887969613075256","2.2887969613075256"
"4","3.1343685285780163","3.1343685285780163","3.1343685285780163","3.2355190194447836","3.2355190194447836","3.2355190194447836","2.7782080901463826","2.7782080901463826","2.7782080901463826","2.8447071946461997","2.8447071946461997","2.8447071946461997","2.569429246637556","2.569429246637556","2.569429246637556","2.613775872654385","2.613775872654385","2.613775872654385","0.6632051960759693","0.6632051960759693","0.6632051960759693","1.919572247505188","1.919572247505188","1.919572247505188","1.925117629792955","1.925117629792955","1.925117629792955"
"5","2.6748698559867012","2.6748698559867012","2.6748698559867012","2.65934390868081","2.65934390868081","2.65934390868081","2.4317042360835606","2.4317042360835606","2.4317042360835606","2.385510419209798","2.385510419209798","2.385510419209798","2.283240495416853","2.283240495416853","2.283240495416853","2.2153423234621683","2.2153423234621683","2.2153423234621683","0.5951516527401076","0.5951516527401076","0.5951516527401076","1.720295124583774","1.720295124583774","1.720295124583774","1.6812366938591004","1.6812366938591004","1.6812366938591004"
"6","2.3881759969393412","2.3881759969393412","2.3881759969393412","2.311688724040985","2.311688724040985","2.311688724040985","2.192087039841546","2.192087039841546","2.192087039841546","2.0893915968471104","2.0893915968471104","2.0893915968471104","2.0725358477168614","2.0725358477168614","2.0725358477168614","1.9428360316488478","1.9428360316488478","1.9428360316488478","0.5381779699921608","0.5381779699921608","0.5381779699921608","1.5595487873819138","1.5595487873819138","1.5595487873819138","1.5095231521924337","1.5095231521924337","1.5095231521924337"
"7","2.184556071387397","2.184556071387397","2.184556071387397","2.083109392589993","2.083109392589993","2.083109392589993","2.0166895908779567","2.0166895908779567","2.0166895908779567","1.878202587445577","1.878202587445577","1.878202587445577","1.9111124707327949","1.9111124707327949","1.9111124707327949","1.7507239774068197","1.7507239774068197","1.7507239774068197","0.49156000443961884","0.49156000443961884","0.49156000443961884","1.423908456272549","1.423908456272549","1.423908456272549","1.3737718296051025","1.3737718296051025","1.3737718296051025"
"8","2.042309448666043","2.042309448666043","2.042309448666043","1.9197626791000366","1.9197626791000366","1.9197626791000366","1.883391075823042","1.883391075823042","1.883391075823042","1.7300620070563422","1.7300620070563422","1.7300620070563422","1.7902981609768338","1.7902981609768338","1.7902981609768338","1.6185814017719693","1.6185814017719693","1.6185814017719693","0.4518108219967948","0.4518108219967948","0.4518108219967948","1.3125815454324086","1.3125815454324086","1.3125815454324086","1.2685599931346045","1.2685599931346045","1.2685599931346045"
"9","1.9275109607378642","1.9275109607378642","1.9275109607378642","1.7952790603637696","1.7952790603637696","1.7952790603637696","1.7835864355829028","1.7835864355829028","1.7835864355829028","1.6191452109018962","1.6191452109018962","1.6191452109018962","1.6823731999397278","1.6823731999397278","1.6823731999397278","1.513130466249254","1.513130466249254","1.513130466249254","0.4160588798721631","0.4160588798721631","0.4160588798721631","1.2205697961118487","1.2205697961118487","1.2205697961118487","1.1851009451813168","1.1851009451813168","1.1851009451813168"
"10","1.8405155918333265","1.8405155918333265","1.8405155918333265","1.6957763113445705","1.6957763113445705","1.6957763113445705","1.6895904115041096","1.6895904115041096","1.6895904115041096","1.5296373716990153","1.5296373716990153","1.5296373716990153","1.5947713881598578","1.5947713881598578","1.5947713881598578","1.4251039877467686","1.4251039877467686","1.4251039877467686","0.38660967450009454","0.38660967450009454","0.38660967450009454","1.139364089038637","1.139364089038637","1.139364089038637","1.1149368208514319","1.1149368208514319","1.1149368208514319"
"11","","","","1.6145045068528918","1.6145045068528918","1.6145045068528918","1.6136066072252062","1.6136066072252062","1.6136066072252062","1.4578202773200142","1.4578202773200142","1.4578202773200142","1.5164898706012302","1.5164898706012302","1.5164898706012302","1.3549728954633078","1.3549728954633078","1.3549728954633078","0.3543197197053168","0.3543197197053168","0.3543197197053168","1.0749447637928857","1.0749447637928857","1.0749447637928857","1.0503573361237843","1.0503573361237843","1.0503573361237843"
"12","","","","1.5489024840460883","1.5489024840460883","1.5489024840460883","1.5417480654186673","1.5417480654186673","1.5417480654186673","1.3947556398709615","1.3947556398709615","1.3947556398709615","1.4426728010177612","1.4426728010177612","1.4426728010177612","1.2972225835058424","1.2972225835058424","1.2972225835058424","0.33256814774539734","0.33256814774539734","0.33256814774539734","","","","0.9972817038430108","0.9972817038430108","0.9972817038430108"
"13","","","","1.4880522156821356","1.4880522156821356","1.4880522156821356","1.4771125050650702","1.4771125050650702","1.4771125050650702","1.3427822538481817","1.3427822538481817","1.3427822538481817","1.3776901747385661","1.3776901747385661","1.3776901747385661","1.2419839827219645","1.2419839827219645","1.2419839827219645","0.3068572739495171","0.3068572739495171","0.3068572739495171","","","","0.9476714146667057","0.9476714146667057","0.9476714146667057"
"14","","","","1.4392866691483392","1.4392866691483392","1.4392866691483392","1.4201837970415752","1.4201837970415752","1.4201837970415752","1.2942778239250183","1.2942778239250183","1.2942778239250183","","","","1.1999841447406345","1.1999841447406345","1.1999841447406345","0.2833313028944863","0.2833313028944863","0.2833313028944863","","","","0.8989090362124973","0.8989090362124973","0.8989090362124973"
"15","","","","1.3927521518071493","1.3927521518071493","1.3927521518071493","","","","1.2522298237747616","1.2522298237747616","1.2522298237747616","","","","1.154777245812946","1.154777245812946","1.154777245812946","0.26221669567293593","0.26221669567293593","0.26221669567293593","","","","0.8596483294169108","0.8596483294169108","0.8596483294169108"
"16","","","","1.357894271744622","1.357894271744622","1.357894271744622","","","","1.2155149985684288","1.2155149985684288","1.2155149985684288","","","","1.118981702990002","1.118981702990002","1.118981702990002","0.24188594927390417","0.24188594927390417","0.24188594927390417","","","","0.8250430767801072","0.8250430767801072","0.8250430767801072"
"17","","","","1.3220666163762411","1.3220666163762411","1.3220666163762411","","","","","","","","","","1.0855888086160024","1.0855888086160024","1.0855888086160024","0.2245165184835593","0.2245165184835593","0.2245165184835593","","","","0.7888037935892741","0.7888037935892741","0.7888037935892741"
"18","","","","1.2879627575874328","1.2879627575874328","1.2879627575874328","","","","","","","","","","1.053835544930564","1.053835544930564","1.053835544930564","0.20897038918071323","0.20897038918071323","0.20897038918071323","","","","0.758612617943022","0.758612617943022","0.758612617943022"
"19","","","","1.2640880832407209","1.2640880832407209","1.2640880832407209","","","","","","","","","","1.027699403948254","1.027699403948254","1.027699403948254","","","","","","","","",""
"20","","","","1.2372148723337386","1.2372148723337386","1.2372148723337386","","","","","","","","","","","","","","","","","","","","",""