"Step","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_total_loss__MAX"
"1","1.2695566005012282","1.2695566005012282","1.2695566005012282"
"2","1.0410712068076666","1.0410712068076666","1.0410712068076666"
"3","0.9443303785993193","0.9443303785993193","0.9443303785993193"
"4","0.853441680779889","0.853441680779889","0.853441680779889"
"5","0.8144133673785635","0.8144133673785635","0.8144133673785635"
"6","0.7746207611387195","0.7746207611387195","0.7746207611387195"
"7","0.7452415523266496","0.7452415523266496","0.7452415523266496"
"8","0.7285561768030401","0.7285561768030401","0.7285561768030401"
"9","0.7121197790383869","0.7121197790383869","0.7121197790383869"
"10","0.7009480696694254","0.7009480696694254","0.7009480696694254"
"11","0.6949171927322503","0.6949171927322503","0.6949171927322503"
"12","0.6832936356906145","0.6832936356906145","0.6832936356906145"
"13","0.7126161194345244","0.7126161194345244","0.7126161194345244"
"14","0.692875262581434","0.692875262581434","0.692875262581434"
"15","0.6942968298656267","0.6942968298656267","0.6942968298656267"
"16","0.6957104017637128","0.6957104017637128","0.6957104017637128"
"17","0.6949551892640535","0.6949551892640535","0.6949551892640535"