"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_total_loss__MAX"
"1","3.733516450885346","3.733516450885346","3.733516450885346","4.343520438904026","4.343520438904026","4.343520438904026","5.487547899859413","5.487547899859413","5.487547899859413","5.8934727748376226","5.8934727748376226","5.8934727748376226"
"2","2.255908090945459","2.255908090945459","2.255908090945459","2.6068848083540135","2.6068848083540135","2.6068848083540135","3.200935734736983","3.200935734736983","3.200935734736983","3.6730515605391236","3.6730515605391236","3.6730515605391236"
"3","1.6259602229929733","1.6259602229929733","1.6259602229929733","1.7517121422566064","1.7517121422566064","1.7517121422566064","2.157765595781655","2.157765595781655","2.157765595781655","2.3541212719244813","2.3541212719244813","2.3541212719244813"
"4","1.3038873804822484","1.3038873804822484","1.3038873804822484","1.3381114422110427","1.3381114422110427","1.3381114422110427","1.5991169726658037","1.5991169726658037","1.5991169726658037","1.652466341614935","1.652466341614935","1.652466341614935"
"5","1.1199473745022532","1.1199473745022532","1.1199473745022532","1.0980166829923965","1.0980166829923965","1.0980166829923965","1.288998153874548","1.288998153874548","1.288998153874548","1.2711297516077493","1.2711297516077493","1.2711297516077493"
"6","1.004562332299844","1.004562332299844","1.004562332299844","0.9453063646387673","0.9453063646387673","0.9453063646387673","1.1080830773705912","1.1080830773705912","1.1080830773705912","1.057642744447156","1.057642744447156","1.057642744447156"
"7","0.9439940319179854","0.9439940319179854","0.9439940319179854","0.845721972348635","0.845721972348635","0.845721972348635","0.9938673100717115","0.9938673100717115","0.9938673100717115","0.9252928281550298","0.9252928281550298","0.9252928281550298"
"8","0.8899139284452368","0.8899139284452368","0.8899139284452368","0.7844413151537758","0.7844413151537758","0.7844413151537758","0.917939931524795","0.917939931524795","0.917939931524795","0.8405652380751886","0.8405652380751886","0.8405652380751886"
"9","0.8521694232896632","0.8521694232896632","0.8521694232896632","0.7386751354905259","0.7386751354905259","0.7386751354905259","0.867134339644261","0.867134339644261","0.867134339644261","0.7793794483422809","0.7793794483422809","0.7793794483422809"
"10","0.8208535204560464","0.8208535204560464","0.8208535204560464","0.7073066735881683","0.7073066735881683","0.7073066735881683","0.8298401608136788","0.8298401608136788","0.8298401608136788","0.7345752421746669","0.7345752421746669","0.7345752421746669"
"11","0.7892799623059126","0.7892799623059126","0.7892799623059126","0.677323493927876","0.677323493927876","0.677323493927876","0.8003896223397704","0.8003896223397704","0.8003896223397704","0.6998713623672776","0.6998713623672776","0.6998713623672776"
"12","0.7668744772407979","0.7668744772407979","0.7668744772407979","0.6615900596335769","0.6615900596335769","0.6615900596335769","0.7776581226826561","0.7776581226826561","0.7776581226826561","0.6736105349093516","0.6736105349093516","0.6736105349093516"
"13","0.7528353459458156","0.7528353459458156","0.7528353459458156","0.6442828169936186","0.6442828169936186","0.6442828169936186","0.7535364665421881","0.7535364665421881","0.7535364665421881","0.6534842378716273","0.6534842378716273","0.6534842378716273"
"14","0.730768513457178","0.730768513457178","0.730768513457178","0.6395400534938115","0.6395400534938115","0.6395400534938115","0.7340151264760676","0.7340151264760676","0.7340151264760676","0.6370480959411201","0.6370480959411201","0.6370480959411201"
"15","0.71608084556688","0.71608084556688","0.71608084556688","0.6330698515763291","0.6330698515763291","0.6330698515763291","0.7207511113443764","0.7207511113443764","0.7207511113443764","0.6286461651854575","0.6286461651854575","0.6286461651854575"
"16","0.7048014443678712","0.7048014443678712","0.7048014443678712","0.6229064405811404","0.6229064405811404","0.6229064405811404","0.7093146347025572","0.7093146347025572","0.7093146347025572","0.6176278671616983","0.6176278671616983","0.6176278671616983"
"17","0.6994097278871926","0.6994097278871926","0.6994097278871926","0.6187166452513707","0.6187166452513707","0.6187166452513707","0.6968195300754392","0.6968195300754392","0.6968195300754392","0.6133381616370505","0.6133381616370505","0.6133381616370505"
"18","0.6917321385011792","0.6917321385011792","0.6917321385011792","0.6165130547583633","0.6165130547583633","0.6165130547583633","0.690379554541454","0.690379554541454","0.690379554541454","0.6085440974358344","0.6085440974358344","0.6085440974358344"
"19","0.6850247581094027","0.6850247581094027","0.6850247581094027","0.6147730797793894","0.6147730797793894","0.6147730797793894","0.6821720490023679","0.6821720490023679","0.6821720490023679","0.6046984259760401","0.6046984259760401","0.6046984259760401"
"20","0.6781591811146237","0.6781591811146237","0.6781591811146237","0.6138411077470594","0.6138411077470594","0.6138411077470594","","","","0.6029888456604621","0.6029888456604621","0.6029888456604621"
"21","0.6771339522161873","0.6771339522161873","0.6771339522161873","0.6150512495748103","0.6150512495748103","0.6150512495748103","","","","0.6062203238637155","0.6062203238637155","0.6062203238637155"
"22","","","","0.618863576470641","0.618863576470641","0.618863576470641","","","","0.6030214581883399","0.6030214581883399","0.6030214581883399"
"23","","","","0.617826141483195","0.617826141483195","0.617826141483195","","","","0.6026146502414351","0.6026146502414351","0.6026146502414351"
"24","","","","0.6229206604707728","0.6229206604707728","0.6229206604707728","","","","0.608029245324499","0.608029245324499","0.608029245324499"
"25","","","","","","","","","","0.611873800017694","0.611873800017694","0.611873800017694"