"Step","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_mrr_at_k__MAX"
"1","0.4747129711376296","0.4747129711376296","0.4747129711376296"
"2","0.45742593421207534","0.45742593421207534","0.45742593421207534"
"3","0.44685185975498626","0.44685185975498626","0.44685185975498626"
"4","0.5444444535705778","0.5444444535705778","0.5444444535705778"
"5","0.528046305404769","0.528046305404769","0.528046305404769"
"6","0.5397407497896088","0.5397407497896088","0.5397407497896088"
"7","0.5546944532394409","0.5546944532394409","0.5546944532394409"
"8","0.5573796394599808","0.5573796394599808","0.5573796394599808"
"9","0.5657129727999369","0.5657129727999369","0.5657129727999369"
"10","0.5936203799247741","0.5936203799247741","0.5936203799247741"
"11","0.563416676428583","0.563416676428583","0.563416676428583"
"12","0.5814907504055236","0.5814907504055236","0.5814907504055236"
"13","0.510907416092025","0.510907416092025","0.510907416092025"
"14","0.5667037130064434","0.5667037130064434","0.5667037130064434"
"15","0.5506851942009396","0.5506851942009396","0.5506851942009396"
"16","0.556268527812428","0.556268527812428","0.556268527812428"
"17","0.552842601219813","0.552842601219813","0.552842601219813"