"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_mrr_at_k__MAX"
"1","0.6209537140395907","0.6209537140395907","0.6209537140395907","0.5909814912279447","0.5909814912279447","0.5909814912279447","0.4570185266269578","0.4570185266269578","0.4570185266269578","0.4564814891450935","0.4564814891450935","0.4564814891450935"
"2","0.582527787014842","0.582527787014842","0.582527787014842","0.5732500081857046","0.5732500081857046","0.5732500081857046","0.5170000089738104","0.5170000089738104","0.5170000089738104","0.46612963873313534","0.46612963873313534","0.46612963873313534"
"3","0.6615092714760039","0.6615092714760039","0.6615092714760039","0.6020926017496321","0.6020926017496321","0.6020926017496321","0.5419537136074569","0.5419537136074569","0.5419537136074569","0.5059444525291522","0.5059444525291522","0.5059444525291522"
"4","0.6246944551997714","0.6246944551997714","0.6246944551997714","0.6526481595171822","0.6526481595171822","0.6526481595171822","0.5701851948102316","0.5701851948102316","0.5701851948102316","0.5745463059180312","0.5745463059180312","0.5745463059180312"
"5","0.6009444545043839","0.6009444545043839","0.6009444545043839","0.5115463035636478","0.5115463035636478","0.5115463035636478","0.5869259359704123","0.5869259359704123","0.5869259359704123","0.5866203803022703","0.5866203803022703","0.5866203803022703"
"6","0.5920833431416088","0.5920833431416088","0.5920833431416088","0.5882963048352136","0.5882963048352136","0.5882963048352136","0.5618888978428311","0.5618888978428311","0.5618888978428311","0.5696944535142846","0.5696944535142846","0.5696944535142846"
"7","0.5632314900358518","0.5632314900358518","0.5632314900358518","0.6346944561799367","0.6346944561799367","0.6346944561799367","0.5608518611921205","0.5608518611921205","0.5608518611921205","0.606462973429097","0.606462973429097","0.606462973429097"
"8","0.6356666776869032","0.6356666776869032","0.6356666776869032","0.6370926032397483","0.6370926032397483","0.6370926032397483","0.5837407499684227","0.5837407499684227","0.5837407499684227","0.5726481583631701","0.5726481583631701","0.5726481583631701"
"9","0.6418426040013632","0.6418426040013632","0.6418426040013632","0.6085463067028257","0.6085463067028257","0.6085463067028257","0.6053333442343606","0.6053333442343606","0.6053333442343606","0.5865555648340119","0.5865555648340119","0.5865555648340119"
"10","0.6286296406586965","0.6286296406586965","0.6286296406586965","0.6446481602456835","0.6446481602456835","0.6446481602456835","0.5935648248195649","0.5935648248195649","0.5935648248195649","0.6117963061067793","0.6117963061067793","0.6117963061067793"
"11","","","","0.6290185289382935","0.6290185289382935","0.6290185289382935","0.5918240832487742","0.5918240832487742","0.5918240832487742","0.6186759362220764","0.6186759362220764","0.6186759362220764"
"12","","","","","","","0.5788611209922366","0.5788611209922366","0.5788611209922366","0.5828240841229757","0.5828240841229757","0.5828240841229757"
"13","","","","","","","0.607796306292216","0.607796306292216","0.607796306292216","0.5981759357584847","0.5981759357584847","0.5981759357584847"
"14","","","","","","","0.6069166772895389","0.6069166772895389","0.6069166772895389","0.6032037130329344","0.6032037130329344","0.6032037130329344"
"15","","","","","","","0.6105926026900609","0.6105926026900609","0.6105926026900609","0.5805833416250017","0.5805833416250017","0.5805833416250017"
"16","","","","","","","0.5856759365399679","0.5856759365399679","0.5856759365399679","0.6074259360896217","0.6074259360896217","0.6074259360896217"
"17","","","","","","","","","","0.6031111208597819","0.6031111208597819","0.6031111208597819"
"18","","","","","","","","","","0.5909814916584227","0.5909814916584227","0.5909814916584227"