"Step","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_mrr_at_k__MAX"
"1","0.5291018622186449","0.5291018622186449","0.5291018622186449"
"2","0.581064826130867","0.581064826130867","0.581064826130867"
"3","0.5989537156158024","0.5989537156158024","0.5989537156158024"
"4","0.6139166796472337","0.6139166796472337","0.6139166796472337"
"5","0.6194074202246136","0.6194074202246136","0.6194074202246136"
"6","0.6308240872489081","0.6308240872489081","0.6308240872489081"
"7","0.637953716357549","0.637953716357549","0.637953716357549"
"8","0.6425740866661072","0.6425740866661072","0.6425740866661072"
"9","0.6419907536506653","0.6419907536506653","0.6419907536506653"
"10","0.6481759389506446","0.6481759389506446","0.6481759389506446"
"11","0.6528333476649391","0.6528333476649391","0.6528333476649391"
"12","0.6573796428309546","0.6573796428309546","0.6573796428309546"
"13","0.6574722355471717","0.6574722355471717","0.6574722355471717"
"14","0.6626851983600193","0.6626851983600193","0.6626851983600193"
"15","0.6584166798591614","0.6584166798591614","0.6584166798591614"
"16","0.664324086520407","0.664324086520407","0.664324086520407"
"17","0.6659722354412079","0.6659722354412079","0.6659722354412079"
"18","0.6636759397718641","0.6636759397718641","0.6636759397718641"
"19","0.6691851992077298","0.6691851992077298","0.6691851992077298"
"20","0.6685463090737661","0.6685463090737661","0.6685463090737661"
"21","0.6685185313224793","0.6685185313224793","0.6685185313224793"