"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_mrr_at_k__MAX"
"1","0.6119166780842675","0.6119166780842675","0.6119166780842675","0.5369259360366397","0.5369259360366397","0.5369259360366397","0.611018530315823","0.611018530315823","0.611018530315823","0.5308240837123659","0.5308240837123659","0.5308240837123659"
"2","0.6257592709859212","0.6257592709859212","0.6257592709859212","0.5965000115103192","0.5965000115103192","0.5965000115103192","0.6256481601397197","0.6256481601397197","0.6256481601397197","0.5928426048225827","0.5928426048225827","0.5928426048225827"
"3","0.6353703834745619","0.6353703834745619","0.6353703834745619","0.618953716357549","0.618953716357549","0.618953716357549","0.634388900756836","0.634388900756836","0.634388900756836","0.6151203823884328","0.6151203823884328","0.6151203823884328"
"4","0.6444537154833476","0.6444537154833476","0.6444537154833476","0.6353611236943139","0.6353611236943139","0.6353611236943139","0.6424629752106137","0.6424629752106137","0.6424629752106137","0.6260092714362674","0.6260092714362674","0.6260092714362674"
"5","0.6525555679268307","0.6525555679268307","0.6525555679268307","0.6451111239592234","0.6451111239592234","0.6451111239592234","0.6514629754755232","0.6514629754755232","0.6514629754755232","0.6444074201318952","0.6444074201318952","0.6444074201318952"
"6","0.6570833455986447","0.6570833455986447","0.6570833455986447","0.6521481610006756","0.6521481610006756","0.6521481610006756","0.6575277899901072","0.6575277899901072","0.6575277899901072","0.6482963090472751","0.6482963090472751","0.6482963090472751"
"7","0.6590185314019521","0.6590185314019521","0.6590185314019521","0.6584814934995439","0.6584814934995439","0.6584814934995439","0.6628796425925361","0.6628796425925361","0.6628796425925361","0.6570740872489081","0.6570740872489081","0.6570740872489081"
"8","0.6663426055908203","0.6663426055908203","0.6663426055908203","0.6666851986249288","0.6666851986249288","0.6666851986249288","0.6702129753695594","0.6702129753695594","0.6702129753695594","0.6628240868515438","0.6628240868515438","0.6628240868515438"
"9","0.6685277903609805","0.6685277903609805","0.6685277903609805","0.6678240883085462","0.6678240883085462","0.6678240883085462","0.6726203823619419","0.6726203823619419","0.6726203823619419","0.6692314938969083","0.6692314938969083","0.6692314938969083"
"10","0.669722234275606","0.669722234275606","0.669722234275606","0.6733240870899624","0.6733240870899624","0.6733240870899624","0.6752870500352648","0.6752870500352648","0.6752870500352648","0.6664166790379418","0.6664166790379418","0.6664166790379418"
"11","0.6676851974063449","0.6676851974063449","0.6676851974063449","0.6770648285945257","0.6770648285945257","0.6770648285945257","0.6745740867190891","0.6745740867190891","0.6745740867190891","0.6720277903079986","0.6720277903079986","0.6720277903079986"
"12","0.6701389004919264","0.6701389004919264","0.6701389004919264","0.6793055690129598","0.6793055690129598","0.6793055690129598","0.6790833455456627","0.6790833455456627","0.6790833455456627","0.6766574203968048","0.6766574203968048","0.6766574203968048"
"13","0.6682870489756266","0.6682870489756266","0.6682870489756266","0.6793055685626136","0.6793055685626136","0.6793055685626136","0.6794814938174354","0.6794814938174354","0.6794814938174354","0.6751111248069339","0.6751111248069339","0.6751111248069339"
"14","0.671111123614841","0.671111123614841","0.671111123614841","0.6823055688275231","0.6823055688275231","0.6823055688275231","0.6790555687215594","0.6790555687215594","0.6790555687215594","0.6767500134044223","0.6767500134044223","0.6767500134044223"
"15","0.6662963087823656","0.6662963087823656","0.6662963087823656","0.6823148265944586","0.6823148265944586","0.6823148265944586","0.6801481613847944","0.6801481613847944","0.6801481613847944","0.6819351979891459","0.6819351979891459","0.6819351979891459"
"16","0.6707500126891666","0.6707500126891666","0.6707500126891666","0.6837129768265618","0.6837129768265618","0.6837129768265618","0.6772222346199883","0.6772222346199883","0.6772222346199883","0.6817685316668617","0.6817685316668617","0.6817685316668617"
"17","0.6670555680857765","0.6670555680857765","0.6670555680857765","0.6851574201318953","0.6851574201318953","0.6851574201318953","0.6794814942147996","0.6794814942147996","0.6794814942147996","0.6843981608549754","0.6843981608549754","0.6843981608549754"
"18","0.6704629746543037","0.6704629746543037","0.6704629746543037","0.6844907534652286","0.6844907534652286","0.6844907534652286","0.6767592719925775","0.6767592719925775","0.6767592719925775","0.6868703838454352","0.6868703838454352","0.6868703838454352"
"19","0.6686203831831614","0.6686203831831614","0.6686203831831614","0.6858055699666341","0.6858055699666341","0.6858055699666341","0.6807685307661693","0.6807685307661693","0.6807685307661693","0.6837963100274403","0.6837963100274403","0.6837963100274403"
"20","0.6702129746543036","0.6702129746543036","0.6702129746543036","0.6872129764027066","0.6872129764027066","0.6872129764027066","","","","0.6846851980686188","0.6846851980686188","0.6846851980686188"
"21","0.6690555682977041","0.6690555682977041","0.6690555682977041","0.6866111245420244","0.6866111245420244","0.6866111245420244","","","","0.685444457160102","0.685444457160102","0.685444457160102"
"22","","","","0.6875370502471924","0.6875370502471924","0.6875370502471924","","","","0.6863240876992543","0.6863240876992543","0.6863240876992543"
"23","","","","0.6880463084644741","0.6880463084644741","0.6880463084644741","","","","0.6870092729462518","0.6870092729462518","0.6870092729462518"
"24","","","","0.6896481626033782","0.6896481626033782","0.6896481626033782","","","","0.6876666797267066","0.6876666797267066","0.6876666797267066"
"25","","","","","","","","","","0.6871111241181691","0.6871111241181691","0.6871111241181691"