"Step","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_all_negs - valid_retrieval_acc__MAX"
"1","0.5534444444444444","0.5534444444444444","0.5534444444444444"
"2","0.5335555555555556","0.5335555555555556","0.5335555555555556"
"3","0.5211666666666667","0.5211666666666667","0.5211666666666667"
"4","0.6224444444444445","0.6224444444444445","0.6224444444444445"
"5","0.6044444444444445","0.6044444444444445","0.6044444444444445"
"6","0.6159444444444444","0.6159444444444444","0.6159444444444444"
"7","0.6315","0.6315","0.6315"
"8","0.6303333333333333","0.6303333333333333","0.6303333333333333"
"9","0.6389444444444444","0.6389444444444444","0.6389444444444444"
"10","0.6636666666666666","0.6636666666666666","0.6636666666666666"
"11","0.6356111111111111","0.6356111111111111","0.6356111111111111"
"12","0.6523888888888889","0.6523888888888889","0.6523888888888889"
"13","0.5798333333333333","0.5798333333333333","0.5798333333333333"
"14","0.6345555555555555","0.6345555555555555","0.6345555555555555"
"15","0.6211666666666666","0.6211666666666666","0.6211666666666666"
"16","0.6266666666666667","0.6266666666666667","0.6266666666666667"
"17","0.6219444444444444","0.6219444444444444","0.6219444444444444"