"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_scope_pred_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_scope_pred_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_scope_pred_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_scope_pred_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_scope_pred_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_scope_pred_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_scope_pred_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_scope_pred_loss__MAX"
"1","4.843297764420721","4.843297764420721","4.843297764420721","5.400505490243752","5.400505490243752","5.400505490243752","3.3071232392563488","3.3071232392563488","3.3071232392563488","3.829283948901703","3.829283948901703","3.829283948901703"
"2","2.836091506968171","2.836091506968171","2.836091506968171","3.396897542116697","3.396897542116697","3.396897542116697","1.9921173606842069","1.9921173606842069","1.9921173606842069","2.3028480960039643","2.3028480960039643","2.3028480960039643"
"3","1.8852853580224154","1.8852853580224154","1.8852853580224154","2.132056967403283","2.132056967403283","2.132056967403283","1.3706035240293608","1.3706035240293608","1.3706035240293608","1.4978296030478198","1.4978296030478198","1.4978296030478198"
"4","1.335600593797267","1.335600593797267","1.335600593797267","1.4201663403273899","1.4201663403273899","1.4201663403273899","1.0519093709135987","1.0519093709135987","1.0519093709135987","1.0866963883488048","1.0866963883488048","1.0866963883488048"
"5","1.0206740040126956","1.0206740040126956","1.0206740040126956","1.0277918418389653","1.0277918418389653","1.0277918418389653","0.8572875278245916","0.8572875278245916","0.8572875278245916","0.8491704570887144","0.8491704570887144","0.8491704570887144"
"6","0.8353974290893514","0.8353974290893514","0.8353974290893514","0.8069104602557092","0.8069104602557092","0.8069104602557092","0.7359857294529836","0.7359857294529836","0.7359857294529836","0.6921480506076271","0.6921480506076271","0.6921480506076271"
"7","0.7198699699519583","0.7198699699519583","0.7198699699519583","0.6756408964126615","0.6756408964126615","0.6756408964126615","0.6563662662705139","0.6563662662705139","0.6563662662705139","0.5993839142906942","0.5993839142906942","0.5993839142906942"
"8","0.6396939938699373","0.6396939938699373","0.6396939938699373","0.58874748729262","0.58874748729262","0.58874748729262","0.6018706054607039","0.6018706054607039","0.6018706054607039","0.5347848636748312","0.5347848636748312","0.5347848636748312"
"9","0.5845354143827889","0.5845354143827889","0.5845354143827889","0.5241631010074175","0.5241631010074175","0.5241631010074175","0.5605884821652095","0.5605884821652095","0.5605884821652095","0.4896457581706411","0.4896457581706411","0.4896457581706411"
"10","0.5430095407509676","0.5430095407509676","0.5430095407509676","0.478826467086748","0.478826467086748","0.478826467086748","0.5252723670556321","0.5252723670556321","0.5252723670556321","0.4545019020725101","0.4545019020725101","0.4545019020725101"
"11","0.5120367990082153","0.5120367990082153","0.5120367990082153","0.443860169572898","0.443860169572898","0.443860169572898","0.49658124389699254","0.49658124389699254","0.49658124389699254","0.42933424042130874","0.42933424042130874","0.42933424042130874"
"12","0.4861066172008616","0.4861066172008616","0.4861066172008616","0.41840909349981886","0.41840909349981886","0.41840909349981886","0.47175354083096793","0.47175354083096793","0.47175354083096793","0.4090741969128909","0.4090741969128909","0.4090741969128909"
"13","0.46063586841891546","0.46063586841891546","0.46063586841891546","0.39706011989929746","0.39706011989929746","0.39706011989929746","0.4499123076880169","0.4499123076880169","0.4499123076880169","0.3936736572593398","0.3936736572593398","0.3936736572593398"
"14","0.44199510948272624","0.44199510948272624","0.44199510948272624","0.3811520361085133","0.3811520361085133","0.3811520361085133","","","","0.38177168401054123","0.38177168401054123","0.38177168401054123"
"15","","","","0.3669747625532201","0.3669747625532201","0.3669747625532201","","","","0.3696617081258479","0.3696617081258479","0.3696617081258479"
"16","","","","0.35501690576809125","0.35501690576809125","0.35501690576809125","","","","0.36258814599014305","0.36258814599014305","0.36258814599014305"
"17","","","","0.34708223310605246","0.34708223310605246","0.34708223310605246","","","","0.35321647540184786","0.35321647540184786","0.35321647540184786"