"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_loss__MAX"
"1","3.1860698980294155","3.1860698980294155","3.1860698980294155","3.7780642348538493","3.7780642348538493","3.7780642348538493","4.808016877826534","4.808016877826534","4.808016877826534","5.322184155296474","5.322184155296474","5.322184155296474"
"2","1.8159184134027675","1.8159184134027675","1.8159184134027675","2.1709971099721392","2.1709971099721392","2.1709971099721392","2.6958065634298918","2.6958065634298918","2.6958065634298918","3.2274058911135524","3.2274058911135524","3.2274058911135524"
"3","1.217429509277242","1.217429509277242","1.217429509277242","1.3661096462348004","1.3661096462348004","1.3661096462348004","1.7217441657508457","1.7217441657508457","1.7217441657508457","1.9587883549092295","1.9587883549092295","1.9587883549092295"
"4","0.9154336442955857","0.9154336442955857","0.9154336442955857","0.9783236007495629","0.9783236007495629","0.9783236007495629","1.1974264038180797","1.1974264038180797","1.1974264038180797","1.2894810666834695","1.2894810666834695","1.2894810666834695"
"5","0.7447702781451109","0.7447702781451109","0.7447702781451109","0.7599076423297767","0.7599076423297767","0.7599076423297767","0.9027760844035851","0.9027760844035851","0.9027760844035851","0.9281544427041686","0.9281544427041686","0.9281544427041686"
"6","0.6384522245260581","0.6384522245260581","0.6384522245260581","0.6211067884366424","0.6211067884366424","0.6211067884366424","0.7383463556876615","0.7383463556876615","0.7383463556876615","0.7322578634504315","0.7322578634504315","0.7322578634504315"
"7","0.5727739542140419","0.5727739542140419","0.5727739542140419","0.5342904606149209","0.5342904606149209","0.5342904606149209","0.6356172111699255","0.6356172111699255","0.6356172111699255","0.6108906104446092","0.6108906104446092","0.6108906104446092"
"8","0.5235343094299784","0.5235343094299784","0.5235343094299784","0.47840712940714075","0.47840712940714075","0.47840712940714075","0.5644686217312279","0.5644686217312279","0.5644686217312279","0.5324268912760869","0.5324268912760869","0.5324268912760869"
"9","0.4839519654561105","0.4839519654561105","0.4839519654561105","0.43971509643918033","0.43971509643918033","0.43971509643918033","0.5197480912212792","0.5197480912212792","0.5197480912212792","0.47896472837107645","0.47896472837107645","0.47896472837107645"
"10","0.45240774046675986","0.45240774046675986","0.45240774046675986","0.4098773072233844","0.4098773072233844","0.4098773072233844","0.48274330760403594","0.48274330760403594","0.48274330760403594","0.4372293531206531","0.4372293531206531","0.4372293531206531"
"11","0.42647278472966454","0.42647278472966454","0.42647278472966454","0.38815608160110393","0.38815608160110393","0.38815608160110393","0.45510648114219654","0.45510648114219654","0.45510648114219654","0.406205796142031","0.406205796142031","0.406205796142031"
"12","0.40642354628120814","0.40642354628120814","0.40642354628120814","0.37254149131940056","0.37254149131940056","0.37254149131940056","0.4321397425438117","0.4321397425438117","0.4321397425438117","0.38294327251123494","0.38294327251123494","0.38294327251123494"
"13","0.3881815728825744","0.3881815728825744","0.3881815728825744","0.3592550747400914","0.3592550747400914","0.3592550747400914","0.4094636112610358","0.4094636112610358","0.4094636112610358","0.3662410272851083","0.3662410272851083","0.3662410272851083"
"14","0.3744441889372008","0.3744441889372008","0.3744441889372008","0.35197694109981054","0.35197694109981054","0.35197694109981054","0.3922739683999473","0.3922739683999473","0.3922739683999473","0.35249173283894575","0.35249173283894575","0.35249173283894575"
"15","0.36366762448479395","0.36366762448479395","0.36366762448479395","0.3439546982570821","0.3439546982570821","0.3439546982570821","0.37749399361241986","0.37749399361241986","0.37749399361241986","0.34288926282318616","0.34288926282318616","0.34288926282318616"
"16","0.3538950603078144","0.3538950603078144","0.3538950603078144","0.33901197943657796","0.33901197943657796","0.33901197943657796","0.3683119370977578","0.3683119370977578","0.3683119370977578","0.3336965736286255","0.3336965736286255","0.3336965736286255"
"17","0.34632602326082296","0.34632602326082296","0.34632602326082296","0.3350475812678227","0.3350475812678227","0.3350475812678227","0.356968570374892","0.356968570374892","0.356968570374892","0.32730911174527705","0.32730911174527705","0.32730911174527705"
"18","0.34077625977103704","0.34077625977103704","0.34077625977103704","0.33396632381802555","0.33396632381802555","0.33396632381802555","0.34946930397890813","0.34946930397890813","0.34946930397890813","0.3239927682794009","0.3239927682794009","0.3239927682794009"
"19","0.33723219363664014","0.33723219363664014","0.33723219363664014","0.3329974331927765","0.3329974331927765","0.3329974331927765","0.3442859373867618","0.3442859373867618","0.3442859373867618","0.3212695572770087","0.3212695572770087","0.3212695572770087"
"20","0.33626728146262536","0.33626728146262536","0.33626728146262536","0.3327872781198783","0.3327872781198783","0.3327872781198783","","","","0.3198102654402887","0.3198102654402887","0.3198102654402887"
"21","0.3340090777374288","0.3340090777374288","0.3340090777374288","0.33498408617600667","0.33498408617600667","0.33498408617600667","","","","0.3221092497264937","0.3221092497264937","0.3221092497264937"
"22","","","","0.33745124996978904","0.33745124996978904","0.33745124996978904","","","","0.32147576227175406","0.32147576227175406","0.32147576227175406"
"23","","","","0.3392100046995902","0.3392100046995902","0.3392100046995902","","","","0.3220023987665905","0.3220023987665905","0.3220023987665905"
"24","","","","0.34274574714592043","0.34274574714592043","0.34274574714592043","","","","0.32540769721538515","0.32540769721538515","0.32540769721538515"
"25","","","","","","","","","","0.32877911248808434","0.32877911248808434","0.32877911248808434"